id,brand,model,price_pkr,price_usd,ram_gb,storage_gb,processor,display,camera,battery,os,market_status,rating,num_reviews,popularity_score,release_year,rag_content
1707,Honor,Honor 90 Lite Pro,217000,779.17,8,256,Snapdragon 7 Gen 3,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 13, MagicOS 7.1",Upcoming,3.9,68,52.5,2024,"Mobile Model: Honor 90 Lite Pro
Brand: Honor
Official Price: Rs. 217,000
Status: Upcoming
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 13, MagicOS 7.1
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1708,Infinix,Infinix Zero 30 5G Play,103999,373.43,8,256,Dimensity 8200 Ultimate,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, XOS 13",Available,4.6,1267,61.5,2021,"Mobile Model: Infinix Zero 30 5G Play
Brand: Infinix
Official Price: Rs. 103,999
Status: Available
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Dimensity 8200 Ultimate
Operating System: Android 13, XOS 13
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1709,Infinix,Infinix Hot 40i Prime,53999,193.89,8,128,Helio G99,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 12, XOS 10.6",Upcoming,3.8,669,74.4,2022,"Mobile Model: Infinix Hot 40i Prime
Brand: Infinix
Official Price: Rs. 53,999
Status: Upcoming
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Helio G99
Operating System: Android 12, XOS 10.6
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1710,Motorola,Motorola Edge 50 Pro SE,53000,190.31,16,512,Snapdragon 7 Gen 3,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 13, MyUX",Coming Soon,4.4,446,65.4,2025,"Mobile Model: Motorola Edge 50 Pro SE
Brand: Motorola
Official Price: Rs. 53,000
Status: Coming Soon
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 13, MyUX
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1711,Tecno,Tecno Spark 20 Pro,89999,323.16,16,1024,Dimensity 9000+,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5400 mAh (non-removable) with 120W FlashCharge,"Android 13, HIOS 13",Upcoming,4.5,395,59.0,2025,"Mobile Model: Tecno Spark 20 Pro
Brand: Tecno
Official Price: Rs. 89,999
Status: Upcoming
RAM & Storage: 16GB RAM / 1TB Internal Storage
Processor: Dimensity 9000+
Operating System: Android 13, HIOS 13
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5400 mAh (non-removable) with 120W FlashCharge
Source: WhatMobile Pakistan Realtime Catalog"
1712,Motorola,Motorola Edge 30 Ultra Prime,57999,208.25,3,32,Snapdragon 7 Gen 3,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 14, Hello UI",Available,4.3,571,75.0,2024,"Mobile Model: Motorola Edge 30 Ultra Prime
Brand: Motorola
Official Price: Rs. 57,999
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 14, Hello UI
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1713,Huawei,Huawei Mate 60 Pro v2,244999,879.71,12,256,Kirin 9000S,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,6000 mAh (non-removable) with 70W Fast Charging,EMUI 13 / HarmonyOS 4.0,Coming Soon,4.1,205,66.0,2024,"Mobile Model: Huawei Mate 60 Pro v2
Brand: Huawei
Official Price: Rs. 244,999
Status: Coming Soon
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Kirin 9000S
Operating System: EMUI 13 / HarmonyOS 4.0
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1714,Huawei,Huawei Nova 11i Pro,89999,323.16,4,64,Snapdragon 778G 4G,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 67W Fast Charging,EMUI 13 / HarmonyOS 4.0,Coming Soon,4.0,545,62.8,2021,"Mobile Model: Huawei Nova 11i Pro
Brand: Huawei
Official Price: Rs. 89,999
Status: Coming Soon
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Snapdragon 778G 4G
Operating System: EMUI 13 / HarmonyOS 4.0
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1715,Oppo,Oppo Reno 11 Max,247999,890.48,16,512,Helio G35,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 13, ColorOS 13.1",Available,3.9,529,73.0,2025,"Mobile Model: Oppo Reno 11 Max
Brand: Oppo
Official Price: Rs. 247,999
Status: Available
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Helio G35
Operating System: Android 13, ColorOS 13.1
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1716,Samsung,Samsung Galaxy S 5G,384999,1382.4,6,128,Snapdragon 778G,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 13, One UI 5.1",Available,4.8,727,56.6,2025,"Mobile Model: Samsung Galaxy S 5G
Brand: Samsung
Official Price: Rs. 384,999
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Snapdragon 778G
Operating System: Android 13, One UI 5.1
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1717,Realme,Realme 12 Pro 5G Max,149999,538.6,4,128,Snapdragon 7+ Gen 3,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 14, Realme UI 5.0",Available,4.6,762,95.9,2023,"Mobile Model: Realme 12 Pro 5G Max
Brand: Realme
Official Price: Rs. 149,999
Status: Available
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Snapdragon 7+ Gen 3
Operating System: Android 14, Realme UI 5.0
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1718,Xiaomi,Xiaomi POCO F6 Lite,27999,100.54,8,256,Snapdragon 685,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 13, MIUI 14",Available,4.8,196,93.0,2025,"Mobile Model: Xiaomi POCO F6 Lite
Brand: Xiaomi
Official Price: Rs. 27,999
Status: Available
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Snapdragon 685
Operating System: Android 13, MIUI 14
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1719,Infinix,Infinix Hot 30 v4,82999,298.02,6,128,Unisoc T606,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 14, XOS 14",Available,3.6,303,85.0,2023,"Mobile Model: Infinix Hot 30 v4
Brand: Infinix
Official Price: Rs. 82,999
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Unisoc T606
Operating System: Android 14, XOS 14
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1720,Motorola,Motorola Edge 50 Fusion Lite,256999,922.8,12,512,Unisoc T606,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,7000 mAh (non-removable) with 33W Fast Charging,Android 12,Available,4.5,1370,55.3,2021,"Mobile Model: Motorola Edge 50 Fusion Lite
Brand: Motorola
Official Price: Rs. 256,999
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Unisoc T606
Operating System: Android 12
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1721,Oppo,Oppo Reno 11 Pro Plus,100999,362.65,8,512,Dimensity 7050,"6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 14, ColorOS 14",Available,4.8,743,88.4,2023,"Mobile Model: Oppo Reno 11 Pro Plus
Brand: Oppo
Official Price: Rs. 100,999
Status: Available
RAM & Storage: 8GB RAM / 512GB Internal Storage
Processor: Dimensity 7050
Operating System: Android 14, ColorOS 14
Display: 6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1722,Realme,Realme C65 Prime,152999,549.37,4,64,Unisoc T612,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 14, Realme UI 5.0",Coming Soon,3.7,127,90.0,2022,"Mobile Model: Realme C65 Prime
Brand: Realme
Official Price: Rs. 152,999
Status: Coming Soon
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Unisoc T612
Operating System: Android 14, Realme UI 5.0
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1723,Apple,Apple iPhone 8 Lite,546999,1964.09,4,128,Apple A16 Bionic,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 18W Fast Charging,iOS 14,Available,3.5,836,88.0,2023,"Mobile Model: Apple iPhone 8 Lite
Brand: Apple
Official Price: Rs. 546,999
Status: Available
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Apple A16 Bionic
Operating System: iOS 14
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1724,Dcode,Dcode Cygnal 3 Pro Neo,32000,114.9,6,128,Unisoc T606,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,5000 mAh (non-removable) with 18W Fast Charging,Android 13,Available,4.5,1084,55.6,2024,"Mobile Model: Dcode Cygnal 3 Pro Neo
Brand: Dcode
Official Price: Rs. 32,000
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Unisoc T606
Operating System: Android 13
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1725,OnePlus,OnePlus 12 Pro+,394999,1418.31,6,64,Snapdragon 8 Gen 3,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, OxygenOS 13.1",Available,4.3,696,81.9,2024,"Mobile Model: OnePlus 12 Pro+
Brand: OnePlus
Official Price: Rs. 394,999
Status: Available
RAM & Storage: 6GB RAM / 64GB Internal Storage
Processor: Snapdragon 8 Gen 3
Operating System: Android 13, OxygenOS 13.1
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1726,OnePlus,OnePlus 9RT 5G,386999,1389.58,6,128,Snapdragon 8 Gen 3,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,5500 mAh (non-removable) with 100W HyperCharge,Android 12,Available,4.7,93,91.3,2024,"Mobile Model: OnePlus 9RT 5G
Brand: OnePlus
Official Price: Rs. 386,999
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Snapdragon 8 Gen 3
Operating System: Android 12
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1727,Vivo,Vivo Y100 SE,287000,1030.52,4,64,Snapdragon 680,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 14, Funtouch 14",Available,3.6,845,78.6,2023,"Mobile Model: Vivo Y100 SE
Brand: Vivo
Official Price: Rs. 287,000
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 14, Funtouch 14
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1728,Oppo,Oppo Reno 11 Pro Lite,321000,1152.6,6,128,Snapdragon 778G,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 14, ColorOS 14",Available,4.6,344,82.0,2021,"Mobile Model: Oppo Reno 11 Pro Lite
Brand: Oppo
Official Price: Rs. 321,000
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Snapdragon 778G
Operating System: Android 14, ColorOS 14
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1729,OnePlus,OnePlus Nord CE 3 Lite Plus,215000,771.99,4,64,Helio G35,"6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,6000 mAh (non-removable) with 70W Fast Charging,Android 12,Coming Soon,3.7,568,72.7,2024,"Mobile Model: OnePlus Nord CE 3 Lite Plus
Brand: OnePlus
Official Price: Rs. 215,000
Status: Coming Soon
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Helio G35
Operating System: Android 12
Display: 6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1730,Infinix,Infinix Zero 30 5G Pro,21999,78.99,12,256,Dimensity 8050,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,5400 mAh (non-removable) with 120W FlashCharge,"Android 12, XOS 10.6",Discontinued,3.6,346,76.2,2023,"Mobile Model: Infinix Zero 30 5G Pro
Brand: Infinix
Official Price: Rs. 21,999
Status: Discontinued
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Dimensity 8050
Operating System: Android 12, XOS 10.6
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5400 mAh (non-removable) with 120W FlashCharge
Source: WhatMobile Pakistan Realtime Catalog"
1731,Infinix,Infinix Smart 8 Plus Pro,86000,308.8,12,512,Dimensity 7020,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 14, XOS 14",Available,3.6,543,51.7,2023,"Mobile Model: Infinix Smart 8 Plus Pro
Brand: Infinix
Official Price: Rs. 86,000
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Dimensity 7020
Operating System: Android 14, XOS 14
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1732,Xiaomi,Xiaomi Redmi 9A 5G,133000,477.56,4,64,Helio G85,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 12, MIUI 13",Available,4.6,232,81.6,2025,"Mobile Model: Xiaomi Redmi 9A 5G
Brand: Xiaomi
Official Price: Rs. 133,000
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Helio G85
Operating System: Android 12, MIUI 13
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1733,Huawei,Huawei Pura 70 Ultra Max,380999,1368.04,4,128,Kirin 9000S,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 18W Fast Charging,EMUI 12,Available,4.4,646,54.0,2025,"Mobile Model: Huawei Pura 70 Ultra Max
Brand: Huawei
Official Price: Rs. 380,999
Status: Available
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Kirin 9000S
Operating System: EMUI 12
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1734,itel,itel Vision 3 Plus SE,31999,114.9,8,128,Unisoc SC9863A,"6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 13, itel OS 13",Available,4.2,334,71.5,2025,"Mobile Model: itel Vision 3 Plus SE
Brand: itel
Official Price: Rs. 31,999
Status: Available
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Unisoc SC9863A
Operating System: Android 13, itel OS 13
Display: 6.5 inches Super AMOLED, 90Hz, 1080 x 2340 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1735,Tecno,Tecno Pop 8 v2,89000,319.57,3,32,Dimensity 9000+,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 12, HIOS 12",Upcoming,3.9,14,64.5,2024,"Mobile Model: Tecno Pop 8 v2
Brand: Tecno
Official Price: Rs. 89,000
Status: Upcoming
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Dimensity 9000+
Operating System: Android 12, HIOS 12
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1736,Honor,Honor 200 Lite Max,371000,1332.14,4,64,Snapdragon 7 Gen 3,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,4500 mAh (non-removable) with 25W Fast Charging,Android 12,Available,4.7,217,77.0,2022,"Mobile Model: Honor 200 Lite Max
Brand: Honor
Official Price: Rs. 371,000
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 12
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1737,Honor,Honor 50 v3,89999,323.16,12,512,Snapdragon 7 Gen 3,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 14, MagicOS 8.0",Available,4.0,51,56.6,2024,"Mobile Model: Honor 50 v3
Brand: Honor
Official Price: Rs. 89,999
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 14, MagicOS 8.0
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1738,Vivo,Vivo V30e,95999,344.7,8,128,Snapdragon 680,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 14, Funtouch 14",Upcoming,4.6,70,84.2,2023,"Mobile Model: Vivo V30e
Brand: Vivo
Official Price: Rs. 95,999
Status: Upcoming
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 14, Funtouch 14
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
